distribution,condition,quantile,value,unit,n_observations
speed,RUN,0.323,212.93485968300217,micron/s,1284300
speed,RUN,0.324,213.04045763377303,micron/s,1284300
speed,RUN,0.325,213.1415007599336,micron/s,1284300
speed,RUN,0.326,213.23986817855123,micron/s,1284300
speed,RUN,0.327,213.33950820649042,micron/s,1284300
speed,RUN,0.328,213.43731471075336,micron/s,1284300
speed,RUN,0.329,213.5392697604682,micron/s,1284300
speed,RUN,0.33,213.63720178520182,micron/s,1284300
speed,RUN,0.331,213.7391277677376,micron/s,1284300
speed,RUN,0.332,213.84061239411008,micron/s,1284300
speed,RUN,0.333,213.94485489294163,micron/s,1284300
speed,RUN,0.334,214.04650582302494,micron/s,1284300
speed,RUN,0.335,214.14386133967318,micron/s,1284300
speed,RUN,0.336,214.2490980348791,micron/s,1284300
speed,RUN,0.337,214.34966692864202,micron/s,1284300
speed,RUN,0.338,214.45037554311838,micron/s,1284300
speed,RUN,0.339,214.55549558642926,micron/s,1284300
speed,RUN,0.34,214.65968700021483,micron/s,1284300
speed,RUN,0.341,214.76222570567668,micron/s,1284300
speed,RUN,0.342,214.86000199125516,micron/s,1284300
speed,RUN,0.343,214.96644853935769,micron/s,1284300
speed,RUN,0.34400000000000003,215.07039155006376,micron/s,1284300
speed,RUN,0.34500000000000003,215.17153477722974,micron/s,1284300
speed,RUN,0.34600000000000003,215.2712005527715,micron/s,1284300
speed,RUN,0.34700000000000003,215.3683050461371,micron/s,1284300
speed,RUN,0.34800000000000003,215.47143330102574,micron/s,1284300
speed,RUN,0.34900000000000003,215.57542183565695,micron/s,1284300
speed,RUN,0.35000000000000003,215.67040786328127,micron/s,1284300
speed,RUN,0.35100000000000003,215.77153697553564,micron/s,1284300
speed,RUN,0.352,215.87081434078323,micron/s,1284300
speed,RUN,0.353,215.97501435989895,micron/s,1284300
speed,RUN,0.354,216.07796791932617,micron/s,1284300
speed,RUN,0.355,216.18098894696575,micron/s,1284300
speed,RUN,0.356,216.28070807644173,micron/s,1284300
speed,RUN,0.357,216.385007924254,micron/s,1284300
speed,RUN,0.358,216.48687783203127,micron/s,1284300
speed,RUN,0.359,216.58463473067806,micron/s,1284300
speed,RUN,0.36,216.68530508243126,micron/s,1284300
speed,RUN,0.361,216.79195967078016,micron/s,1284300
speed,RUN,0.362,216.8921777642667,micron/s,1284300
speed,RUN,0.363,216.99473369772045,micron/s,1284300
speed,RUN,0.364,217.09050337942404,micron/s,1284300
speed,RUN,0.365,217.18721891300234,micron/s,1284300
speed,RUN,0.366,217.28404589914877,micron/s,1284300
speed,RUN,0.367,217.38472349591987,micron/s,1284300
speed,RUN,0.368,217.48191393811055,micron/s,1284300
speed,RUN,0.369,217.58359566167627,micron/s,1284300
speed,RUN,0.37,217.68606873270338,micron/s,1284300
speed,RUN,0.371,217.78421509458389,micron/s,1284300
speed,RUN,0.372,217.88255138736912,micron/s,1284300
speed,RUN,0.373,217.9844525799063,micron/s,1284300
speed,RUN,0.374,218.08597482293658,micron/s,1284300
speed,RUN,0.375,218.1908388389701,micron/s,1284300
speed,RUN,0.376,218.29165732320874,micron/s,1284300
speed,RUN,0.377,218.38658318358424,micron/s,1284300
speed,RUN,0.378,218.48161879933005,micron/s,1284300
speed,RUN,0.379,218.58249714248763,micron/s,1284300
speed,RUN,0.38,218.68200720731355,micron/s,1284300
speed,RUN,0.381,218.7837222366458,micron/s,1284300
speed,RUN,0.382,218.88686742195105,micron/s,1284300
speed,RUN,0.383,218.98293720072462,micron/s,1284300
speed,RUN,0.384,219.08278997578404,micron/s,1284300
speed,RUN,0.385,219.18288459839778,micron/s,1284300
speed,RUN,0.386,219.28096463560553,micron/s,1284300
speed,RUN,0.387,219.3849797764766,micron/s,1284300
speed,RUN,0.388,219.48258713808903,micron/s,1284300
speed,RUN,0.389,219.58400192104406,micron/s,1284300
speed,RUN,0.39,219.68661570598982,micron/s,1284300
speed,RUN,0.391,219.7905821045031,micron/s,1284300
speed,RUN,0.392,219.88734797178233,micron/s,1284300
speed,RUN,0.393,219.98875348697595,micron/s,1284300
speed,RUN,0.394,220.08667044583243,micron/s,1284300
speed,RUN,0.395,220.18627244121933,micron/s,1284300
speed,RUN,0.396,220.27944151399987,micron/s,1284300
speed,RUN,0.397,220.37739591224846,micron/s,1284300
speed,RUN,0.398,220.47501228825746,micron/s,1284300
speed,RUN,0.399,220.56895918607825,micron/s,1284300
speed,RUN,0.4,220.66625879874996,micron/s,1284300
speed,RUN,0.401,220.7638167060394,micron/s,1284300
speed,RUN,0.402,220.85857562440538,micron/s,1284300
speed,RUN,0.403,220.9516239689931,micron/s,1284300
speed,RUN,0.404,221.05142693610688,micron/s,1284300
speed,RUN,0.405,221.1501717326303,micron/s,1284300
speed,RUN,0.406,221.25105413400402,micron/s,1284300
speed,RUN,0.40700000000000003,221.35398323887614,micron/s,1284300
speed,RUN,0.40800000000000003,221.45542343321193,micron/s,1284300
speed,RUN,0.40900000000000003,221.55157128142113,micron/s,1284300
speed,RUN,0.41000000000000003,221.64862259819168,micron/s,1284300
speed,RUN,0.41100000000000003,221.74846789173972,micron/s,1284300
speed,RUN,0.41200000000000003,221.84658544373366,micron/s,1284300
speed,RUN,0.41300000000000003,221.9405884508813,micron/s,1284300
speed,RUN,0.41400000000000003,222.03407112197164,micron/s,1284300
speed,RUN,0.41500000000000004,222.12952854516288,micron/s,1284300
speed,RUN,0.41600000000000004,222.2242975713126,micron/s,1284300
speed,RUN,0.417,222.32367923296002,micron/s,1284300
speed,RUN,0.418,222.42325851611128,micron/s,1284300
speed,RUN,0.419,222.51888579427597,micron/s,1284300
speed,RUN,0.42,222.6149444554,micron/s,1284300
speed,RUN,0.421,222.7107415313945,micron/s,1284300
speed,RUN,0.422,222.80749195294496,micron/s,1284300
speed,RUN,0.423,222.90734662716244,micron/s,1284300
speed,RUN,0.424,223.00083115946774,micron/s,1284300
speed,RUN,0.425,223.09800654800682,micron/s,1284300
speed,RUN,0.426,223.19233212191318,micron/s,1284300
speed,RUN,0.427,223.28814957725638,micron/s,1284300
speed,RUN,0.428,223.38540671666922,micron/s,1284300
speed,RUN,0.429,223.48190382308528,micron/s,1284300
speed,RUN,0.43,223.57883972935687,micron/s,1284300
speed,RUN,0.431,223.6840660994425,micron/s,1284300
speed,RUN,0.432,223.78407804816123,micron/s,1284300
speed,RUN,0.433,223.8787281589666,micron/s,1284300
speed,RUN,0.434,223.9759029596503,micron/s,1284300
speed,RUN,0.435,224.0758049244444,micron/s,1284300
speed,RUN,0.436,224.17612635107835,micron/s,1284300
speed,RUN,0.437,224.27034324643702,micron/s,1284300
speed,RUN,0.438,224.36660475512028,micron/s,1284300
speed,RUN,0.439,224.46046383417772,micron/s,1284300
speed,RUN,0.44,224.5610460089015,micron/s,1284300
speed,RUN,0.441,224.66054649972622,micron/s,1284300
speed,RUN,0.442,224.75654830611512,micron/s,1284300
speed,RUN,0.443,224.8537259348157,micron/s,1284300
speed,RUN,0.444,224.95023407407277,micron/s,1284300
speed,RUN,0.445,225.04400595767973,micron/s,1284300
speed,RUN,0.446,225.14106143797193,micron/s,1284300
speed,RUN,0.447,225.23762176929458,micron/s,1284300
speed,RUN,0.448,225.3334108299912,micron/s,1284300
speed,RUN,0.449,225.42819180088753,micron/s,1284300
speed,RUN,0.45,225.52589200845577,micron/s,1284300
speed,RUN,0.451,225.6212390473927,micron/s,1284300
speed,RUN,0.452,225.7215995309583,micron/s,1284300
speed,RUN,0.453,225.81627610222324,micron/s,1284300
speed,RUN,0.454,225.9158224040728,micron/s,1284300
speed,RUN,0.455,226.01857088338912,micron/s,1284300
speed,RUN,0.456,226.11667711445983,micron/s,1284300
speed,RUN,0.457,226.21385394445218,micron/s,1284300
speed,RUN,0.458,226.3134829785615,micron/s,1284300
speed,RUN,0.459,226.4111274550644,micron/s,1284300
speed,RUN,0.46,226.5117152134332,micron/s,1284300
speed,RUN,0.461,226.61315388927807,micron/s,1284300
speed,RUN,0.462,226.71111406172264,micron/s,1284300
speed,RUN,0.463,226.80675377989513,micron/s,1284300
speed,RUN,0.464,226.9008199891113,micron/s,1284300
speed,RUN,0.465,226.99841013449858,micron/s,1284300
speed,RUN,0.466,227.09378903435183,micron/s,1284300
speed,RUN,0.467,227.19418074848733,micron/s,1284300
speed,RUN,0.468,227.28489493624195,micron/s,1284300
speed,RUN,0.46900000000000003,227.38561997380032,micron/s,1284300
speed,RUN,0.47000000000000003,227.4805088405993,micron/s,1284300
speed,RUN,0.47100000000000003,227.5774143691288,micron/s,1284300
speed,RUN,0.47200000000000003,227.6715510252807,micron/s,1284300
speed,RUN,0.47300000000000003,227.76534062690484,micron/s,1284300
speed,RUN,0.47400000000000003,227.8644904952071,micron/s,1284300
speed,RUN,0.47500000000000003,227.9624900989697,micron/s,1284300
speed,RUN,0.47600000000000003,228.05404979311626,micron/s,1284300
speed,RUN,0.47700000000000004,228.14759735762502,micron/s,1284300
speed,RUN,0.47800000000000004,228.24338847896234,micron/s,1284300
speed,RUN,0.47900000000000004,228.33770544884484,micron/s,1284300
speed,RUN,0.48,228.43841061444138,micron/s,1284300
speed,RUN,0.481,228.53297486934122,micron/s,1284300
speed,RUN,0.482,228.6318161941094,micron/s,1284300
speed,RUN,0.483,228.7268449647138,micron/s,1284300
