x,y,radius
346.0598506,58.16842811,0.5
348.3240526,58.06169585,0.5
141.4469637,58.84269286,0.5
351.9878889,58.5093825,0.5
53.49861445,59.15010548,0.5
357.1184679,58.91256099,0.5
388.1098099,59.92806265,0.5
95.58182389,60.19908541,0.5
127.8277463,60.07230001,0.5
341.1672574,60.04699573,0.5
273.9042953,60.65916895,0.5
7.565210647,61.00157823,0.5
152.0415223,60.81110503,0.5
165.3477227,60.84319442,0.5
282.5908335,61.09096595,0.5
286.5739954,61.0425094,0.5
333.1836299,60.93279152,0.5
75.13080868,61.15832127,0.5
124.7107317,61.16970502,0.5
135.3697944,61.01046942,0.5
138.2350693,61.16254299,0.5
232.5614956,61.3107119,0.5
265.2352919,61.41931905,0.5
277.9740869,61.2288471,0.5
358.6859598,61.55314688,0.5
108.8723734,62.08746217,0.5
250.9367102,62.14987492,0.5
315.7101673,62.04042815,0.5
62.90540963,62.39870851,0.5
248.3190379,62.55009962,0.5
52.88007723,62.12686567,0.5
346.2593439,62.74564122,0.5
348.4896232,62.58038999,0.5
3.382714967,63.44637236,0.5
118.7538643,63.7140276,0.5
179.6133503,63.44917696,0.5
44.80179346,64.08115935,0.5
383.6240584,63.75331202,0.5
54.89806745,64.39857775,0.5
93.08112124,64.44605853,0.5
189.6848436,64.32393041,0.5
192.2416396,64.23033075,0.5
246.2052537,64.48298919,0.5
66.47252211,64.70742814,0.5
292.2879358,64.85388889,0.5
260.9399209,64.88340096,0.5
244.1255876,65.29203828,0.5
28.43455981,65.55978514,0.5
332.5049285,65.76205722,0.5
2.632049602,66.40286885,0.5
237.3050686,66.68049085,0.5
274.6941342,66.40809429,0.5
317.9693684,66.51691856,0.5
47.48270977,66.79142811,0.5
56.12580667,66.90618943,0.5
150.5715778,66.78089784,0.5
364.192961,66.78891775,0.5
63.43840408,67.34864828,0.5
264.2328118,67.21252854,0.5
33.87034197,67.78072077,0.5
129.0436601,67.61862039,0.5
201.5408038,67.60671183,0.5
100.8463093,67.85476217,0.5
181.9954962,67.92743548,0.5
225.6501057,68.10918832,0.5
358.6931827,68.11402147,0.5
7.745861856,68.30746123,0.5
272.2253722,68.51284274,0.5
285.5670017,68.71690707,0.5
138.0220546,68.98626989,0.5
11.2084937,69.62187549,0.5
72.0483029,69.38528403,0.5
157.033356,69.0058164,0.5
235.7152571,69.60545458,0.5
